"fzg_typ","origin","messwerttyp","Einrichtpunkte"
"V297","Assembly","1-10_9L.G","1"
"V223","Bodyshop","1-5_14R.F","0"
"V297","Assembly","1-10_9R.F","1"
"V223","Bodyshop","1-5_14R.G","0"
"V297","Assembly","1-10_9R.G","1"
"V297","Assembly","1-10_9.S","1"
"V297","Assembly","1-10_9-2L.K","1"
"V297","Assembly","1-10_9-2R.K","1"
"V223","Bodyshop","1-5_3L.F","0"
"V223","Bodyshop","1-5_3L.G","0"
"V223","Bodyshop","1-5_3R.F","0"
"V297","Assembly","1-5_1L.F","1"
"V223","Bodyshop","1-5_3R.G","0"
"V297","Assembly","1-5_1L.G","1"
"V223","Bodyshop","1-6_11L.F","0"
"V297","Assembly","1-5_1R.F","1"
"V223","Bodyshop","1-6_11L.G","0"
"V297","Assembly","1-5_1R.G","1"
"V223","Bodyshop","1-6_11R.F","0"
"V297","Assembly","1-5_3L.F","1"
"V223","Bodyshop","1-6_11R.G","0"
"V297","Assembly","1-5_3L.G","1"
"V223","Bodyshop","1-6_17L.F","0"
"V297","Assembly","1-5_3R.F","1"
"V223","Bodyshop","1-6_17L.G","0"
"V297","Assembly","1-5_3R.G","1"
"V223","Bodyshop","1-6_17R.F","0"
"V223","Bodyshop","1-6_17R.G","0"
"V223","Bodyshop","1-7_2L.F","1"
"V223","Bodyshop","1-7_2L.G","1"
"V223","Bodyshop","1-7_2R.F","1"
"V297","Assembly","1-8_2L.F","1"
"V223","Bodyshop","1-7_2R.G","1"
"V297","Assembly","1-8_2L.G","1"
"V223","Bodyshop","5-6_2L.F","0"
"V297","Assembly","1-8_2R.F","1"
"V223","Bodyshop","5-6_2L.G","0"
"V297","Assembly","1-8_2R.G","1"
"V223","Bodyshop","5-6_2R.F","0"
"V297","Assembly","5-6_2L.F","1"
"V223","Bodyshop","5-6_2R.G","0"
"V297","Assembly","5-6_2L.G","1"
"V223","Bodyshop","5-6_7L.F","0"
"V297","Assembly","5-6_2R.F","1"
"V223","Bodyshop","5-6_7L.G","0"
"V297","Assembly","5-6_2R.G","1"
"V223","Bodyshop","5-6_7R.F","0"
"V297","Assembly","5-6_5L.F","1"
"V223","Bodyshop","5-6_7R.G","0"
"V297","Assembly","5-6_5L.G","1"
"V223","Bodyshop","6-7_1L.F","1"
"V297","Assembly","5-6_5R.F","1"
"V223","Bodyshop","6-7_2L.F","0"
"V297","Assembly","5-6_5R.G","1"
"V223","Bodyshop","6-7_2L.G","0"
"V223","Bodyshop","6-7_2R.F","0"
"V297","Assembly","5-6_5-2L.K","1"
"V297","Assembly","5-6_5-2R.K","1"
"V223","Bodyshop","6-7_2R.G","0"
"V297","Assembly","6-7_2L.F","1"
"V223","Bodyshop","6-8_1-9L.G","0"
"V297","Assembly","6-7_2L.G","1"
"V223","Bodyshop","6-8_1-9R.G","0"
"V297","Assembly","6-7_2R.F","1"
"V223","Bodyshop","6-8_3-4L.G","0"
"V297","Assembly","6-7_2R.G","1"
"V223","Bodyshop","6-8_3-4R.G","0"
"V297","Assembly","6-7_5L.F","1"
"V223","Bodyshop","6-8_3-9L.G","0"
"V297","Assembly","6-7_5L.G","1"
"V223","Bodyshop","6-8_3-9R.G","0"
"V297","Assembly","6-7_5R.F","1"
"V223","Bodyshop","6-8_3-9S.G","0"
"V297","Assembly","6-7_5R.G","1"
"V297","Assembly","6-7_5-2L.K","1"
"V297","Assembly","6-7_5-2R.K","1"
"V223","Bodyshop","7-8_12L.F","0"
"V297","Assembly","7-8_2L.F","1"
"V223","Bodyshop","7-8_12L.G","0"
"V297","Assembly","7-8_2L.G","1"
"V223","Bodyshop","7-8_12R.F","0"
"V297","Assembly","7-8_2R.F","1"
"V223","Bodyshop","7-8_12R.G","0"
"V297","Assembly","7-8_2R.G","1"
"V223","Bodyshop","7-8_7L.F","0"
"V297","Assembly","7-8_5L.F","1"
"V223","Bodyshop","7-8_7L.G","0"
"V297","Assembly","7-8_5L.G","1"
"V223","Bodyshop","7-8_7R.F","0"
"V297","Assembly","7-8_5R.F","1"
"V223","Bodyshop","7-8_7R.G","0"
"V297","Assembly","7-8_5R.G","1"
"V297","Bodyshop","1-10_2L.F","1"
"W223","Assembly","1-4_2L.F","1"
"V297","Bodyshop","1-10_2L.G","1"
"W223","Assembly","1-4_2L.G","1"
"V297","Bodyshop","1-10_2R.F","1"
"W223","Assembly","1-4_2R.F","1"
"V297","Bodyshop","1-10_2R.G","1"
"W223","Assembly","1-4_2R.G","1"
"W223","Assembly","1-4_2.S","1"
"V297","Bodyshop","1-10_9L.F","1"
"W223","Assembly","1-4_4L.F","1"
"V297","Bodyshop","1-10_9L.G","1"
"W223","Assembly","1-4_4L.G","1"
"V297","Bodyshop","1-10_9R.F","1"
"W223","Assembly","1-4_4R.F","1"
"V297","Bodyshop","1-10_9R.G","1"
"W223","Assembly","1-4_4R.G","1"
"W223","Assembly","1-4_4.S","1"
"V297","Bodyshop","1-10_9S.Y","0"
"W223","Assembly","1-4_6L.F","1"
"V297","Bodyshop","1-10_2.S","0"
"W223","Assembly","1-4_6L.G","1"
"V297","Bodyshop","1-5_1L.F","1"
"W223","Assembly","1-4_6R.F","1"
"V297","Bodyshop","1-5_1L.G","1"
"W223","Assembly","1-4_6R.G","1"
"W223","Assembly","1-4_6-4L.K","1"
"W223","Assembly","1-4_6-4R.K","1"
"W223","Assembly","1-4_6.S","1"
"W223","Assembly","1-5_5-1L.K","1"
"W223","Assembly","1-5_5-1R.K","1"
"V297","Bodyshop","1-5_1R.F","1"
"V297","Bodyshop","1-5_1R.G","1"
"V297","Bodyshop","1-5_3L.F","1"
"V297","Bodyshop","1-5_3L.G","1"
"W223","Assembly","1-5_1L.F","1"
"W223","Assembly","1-5_1L.G","1"
"W223","Assembly","1-5_1R.F","1"
"W223","Assembly","1-5_1R.G","1"
"V297","Bodyshop","1-5_3R.F","1"
"W223","Assembly","1-5_5L.F","1"
"W223","Assembly","1-5_5R.F","1"
"V297","Bodyshop","1-5_3R.G","1"
"W223","Assembly","1-5_5L.G","1"
"W223","Assembly","1-5_5R.G","1"
"V297","Bodyshop","1-5_7L.Z","1"
"V297","Bodyshop","1-5_7R.Z","1"
"V297","Bodyshop","1-6_0L.Z","1"
"V297","Bodyshop","1-6_0R.Z","1"
"V297","Bodyshop","1-8_2L.F","1"
"V297","Bodyshop","1-8_2L.G","1"
"V297","Bodyshop","1-8_2R.F","1"
"V297","Bodyshop","1-8_2R.G","1"
"W223","Assembly","5-6_3-1L.K","1"
"W223","Assembly","5-6_3-1R.K","1"
"V297","Bodyshop","5-6_2L.F","1"
"W223","Assembly","5-6_1L.F","1"
"W223","Assembly","5-6_1R.F","1"
"V297","Bodyshop","5-6_2L.G","1"
"W223","Assembly","5-6_1L.G","1"
"W223","Assembly","5-6_1R.G","1"
"V297","Bodyshop","5-6_2R.F","1"
"V297","Bodyshop","5-6_2R.G","1"
"V297","Bodyshop","5-6_5L.F","1"
"W223","Assembly","5-6_3L.F","1"
"W223","Assembly","5-6_3R.F","1"
"V297","Bodyshop","5-6_5L.G","1"
